,coe_x1x2,alpha,beta,coe_x2,coe_x1,coe_y1,coe_b
count,30.0,30.0,30.0,30.0,30.0,30.0,30.0
mean,0.5377866666666667,0.31,0.3766666666666667,0.07813,0.39491000000000015,-6.746786666666667,2.8818300000000003
std,0.12160913286181387,0.17090025322311295,0.1546594330452723,0.19263564884749798,1.2838416349728088,32.68268198321059,17.655789934518015
min,0.1651,0.1,0.1,0.0,0.0,-179.33,-9.692
25%,0.47285,0.2,0.3,0.004825,0.004775,-0.29464999999999997,-0.004325
50%,0.54115,0.3,0.4,0.0404,0.02265,-0.0882,0.0010500000000000002
75%,0.59805,0.3,0.5,0.07944999999999999,0.07127499999999999,-0.07164999999999999,0.00895
max,0.7703,0.7,0.6,1.0704,5.3872,-0.0066,95.892
true_parameter,1.0845,0.3,0.4,0.0,0.0,-1.0,0.0
