,coe_x1x2,alpha,beta,coe_x2,coe_x1,coe_y1,coe_b
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,12.803000000000003,0.22000000000000003,0.22000000000000003,0.009600000000000001,0.15,-0.52492,-16.528200000000002
std,27.969537260115697,0.10954451150103321,0.130384048104053,0.01190441094720776,0.320493237058132,0.8279506549305943,36.86819765156686
min,0.0027,0.1,0.1,0.0,0.0,-1.976,-82.48
25%,0.0082,0.1,0.1,0.0035,0.0013,-0.3933,-0.0965
50%,0.1734,0.3,0.2,0.0064,0.0097,-0.2457,-0.0565
75%,0.9997,0.3,0.3,0.0079,0.0158,-0.0092,-0.008
max,62.831,0.3,0.4,0.0302,0.7232,-0.0004,0.0
true_parameter,1.0845,0.3,0.4,0.0,0.0,-1.0,0.0
