,coe_x1x2,alpha,beta,coe_x2,coe_x1,coe_y1,coe_b
count,30.0,30.0,30.0,30.0,30.0,30.0,30.0
mean,0.4347433333333335,0.4033333333333334,0.4166666666666667,22.266793333333325,3.029553333333333,-0.16601000000000002,4.759559999999998
std,0.18918883593827138,0.17515182248421005,0.18952451089472586,112.56164460067,16.260571977655207,0.6225904838545213,64.85804336319278
min,0.0538,0.1,0.1,0.0004,0.0,-3.4137,-96.052
25%,0.407125,0.3,0.3,0.0027,0.0002,-0.07155,0.0
50%,0.48685,0.4,0.4,0.009500000000000001,0.0042,-0.0323,0.0
75%,0.5369999999999999,0.5,0.575,0.080175,0.0582,-0.0075250000000000004,0.001875
max,0.9111,0.9,0.8,616.61,89.12,-0.0003,327.25
true_parameter,1.0845,0.3,0.4,0.0,0.0,-1.0,0.0
