best_programs,time_used,gen_counts
(((((0.564 * ((x1 ** 0.5) * (x2 ** 0.5))) + (0.0 * x2)) + (0.0011 * x1)) - (0.1991 * y1)) + 0.0038),390.41826701164246,41
(((((0.6606 * ((x1 ** 0.3) * (x2 ** 0.5))) + (0.0066 * x2)) + (0.092 * x1)) - (0.1705 * y1)) + 0.0009),329.5980336666107,32
(((((0.407 * ((x1 ** 0.4) * (x2 ** 0.3))) + (0.0827 * x2)) + (0.0007 * x1)) - (0.0003 * y1)) - 0.0019),234.36970615386963,23
(((((0.7985 * ((x1 ** 0.1) * (x2 ** 0.1))) + (0.0003 * x2)) + (0.0039 * x1)) - (0.407 * y1)) - 0.0438),309.7645351886749,30
(((((0.4154 * ((x1 ** 0.4) * (x2 ** 0.3))) + (0.0638 * x2)) + (0.0037 * x1)) - (0.0458 * y1)) - 0.0168),244.626610994339,24
(((((0.5916 * ((x1 ** 0.2) * (x2 ** 0.5))) + (0.0 * x2)) + (0.0351 * x1)) - (0.0082 * y1)) + 0.0069),326.0426206588745,32
(((((0.8284 * ((x1 ** 0.3) * (x2 ** 0.4))) + (0 * x2)) + (0.0098 * x1)) - (0.5574 * y1)) + 0.0054),373.0720171928406,36
(((((0.4877 * ((x1 ** 0.5) * (x2 ** 0.5))) + (0.0003 * x2)) + (0.0009 * x1)) - (0.0882 * y1)) + 0.0661),319.7243709564209,31
(((((0.8107 * ((x1 ** 0.2) * (x2 ** 0.6))) + (0.0002 * x2)) + (0.0301 * x1)) - (0.8955 * y1)) - 0.003),299.2397186756134,29
(((((0.5063 * ((x1 ** 0.1) * (x2 ** 0.4))) + (0.008 * x2)) + (0.0104 * x1)) - (0.0327 * y1)) - 0.026),403.90456771850586,39
(((((0.5 * ((x1 ** 0.3) * (x2 ** 0.4))) + (0.0581 * x2)) + (307.44 * x1)) - (0.0862 * y1)) - 0.0066),351.1821572780609,34
(((((0.6819 * ((x1 ** 0.3) * (x2 ** 0.4))) + (0.095 * x2)) + (0.0532 * x1)) - (0.5083 * y1)) - 0.0048),340.61641120910645,33
(((((0.4769 * ((x1 ** 0.2) * (x2 ** 0.4))) + (0.0714 * x2)) + (0.0652 * x1)) - (0.0082 * y1)) + 0.009),256.170774936676,25
(((((0.6536 * ((x1 ** 0.3) * (x2 ** 0.3))) + (0.0816 * x2)) + (0.0 * x1)) - (328.17 * y1)) + 0.0041),344.0680754184723,37
(((((0.6369 * ((x1 ** 0.3) * (x2 ** 0.5))) + (0.0892 * x2)) + (0.0 * x1)) - (0.5141 * y1)) - 0.0016),313.3504774570465,34
(((((0.6644 * ((x1 ** 0.3) * (x2 ** 0.4))) + (0.0044 * x2)) + (0.0807 * x1)) - (0.5432 * y1)) - 0.6032),276.3769063949585,29
(((((0.7888 * ((x1 ** 0.2) * (x2 ** 0.5))) + (0.0058 * x2)) + (0.0017 * x1)) - (0.2605 * y1)) + 0.0095),290.6065604686737,31
(((((0.4945 * ((x1 ** 0.3) * (x2 ** 0.5))) + (0.0019 * x2)) + (0 * x1)) - (0.7446 * y1)) + 0.0072),211.5069396495819,24
(((((0.5932 * ((x1 ** 0.2) * (x2 ** 0.3))) + (0.0705 * x2)) + (0.049 * x1)) - (0.2509 * y1)) + 0.0032),236.90208983421326,26
(((((0.4903 * ((x1 ** 0.1) * (x2 ** 0.4))) + (0.0089 * x2)) + (0.0841 * x1)) - (6.315 * y1)) - 0.0018),307.8104269504547,33
(((((0.0108 * ((x1 ** 0.4) * (x2 ** 0.6))) + (0.0998 * x2)) + (0.0896 * x1)) - (0.0042 * y1)) + 0.0031),209.29630184173584,22
(((((0.4803 * ((x1 ** 0.3) * (x2 ** 0.5))) + (0.0403 * x2)) + (0.01 * x1)) - (0.0971 * y1)) - 0.0),212.25740432739258,22
(((((0.4598 * ((x1 ** 0.4) * (x2 ** 0.5))) + (0.0079 * x2)) + (0.0022 * x1)) - (0.0822 * y1)) + 0.0086),302.4553601741791,31
(((((0.5336 * ((x1 ** 0.4) * (x2 ** 0.4))) + (0.0015 * x2)) + (0.0 * x1)) - (0.0734 * y1)) + 0.0054),275.2480535507202,29
(((((0.4761 * ((x1 ** 0.5) * (x2 ** 0.5))) + (0 * x2)) + (0.0245 * x1)) - (0.4969 * y1)) - 0.0005),254.6706988811493,27
(((((0.5624 * ((x1 ** 0.3) * (x2 ** 0.3))) + (0.0295 * x2)) + (0.0265 * x1)) - (0.0535 * y1)) + 0),289.87621998786926,30
(((((0.5031 * ((x1 ** 0.2) * (x2 ** 0.5))) + (0.0768 * x2)) + (0.0497 * x1)) - (0.0011 * y1)) + 0.0007),476.075154542923,50
(((((0.4296 * ((x1 ** 0.2) * (x2 ** 0.2))) + (0.0 * x2)) + (0.0737 * x1)) - (0.0805 * y1)) - 0.0087),318.94115114212036,34
(((((0.6952 * ((x1 ** 0.4) * (x2 ** 0.5))) + (0.0109 * x2)) + (0.002 * x1)) - (0.3145 * y1)) + 0.003),437.48437881469727,47
(((((0.5766 * ((x1 ** 0.3) * (x2 ** 0.4))) + (0.0022 * x2)) + (0.0024 * x1)) - (0.079 * y1)) - 0.0009),338.4922559261322,37
