,coe_x1x2,alpha,beta,coe_x2,coe_x1,coe_y1,coe_b
count,30.0,30.0,30.0,30.0,30.0,30.0,30.0
mean,0.3875166666666666,0.2666666666666666,0.39,16.438940000000002,0.05761333333333332,-27.915869999999995,1.7152033333333334
std,0.17647547076466236,0.1493279966205689,0.1900090741934765,84.95597202466458,0.06250122058578252,152.41506837983718,9.315426584397457
min,0.0047,0.1,0.1,0.0,0.0009,-834.9,-0.0087
25%,0.38945,0.1,0.3,0.04405,0.006125,-0.093475,0.0
50%,0.4376,0.3,0.4,0.07344999999999999,0.0526,-0.06025,0.00485
75%,0.4624,0.3,0.475,0.09362500000000001,0.083175,-0.037225,0.0367
max,0.6689,0.7,0.9,465.6,0.2871,-0.002,51.037
true_parameter,1.0845,0.3,0.4,0.0,0.0,-1.0,0.0
