,coe_x1x2,alpha,beta,coe_x2,coe_x1,coe_y1,coe_b
count,30.0,30.0,30.0,30.0,30.0,30.0,30.0
mean,97.22083333333335,0.19666666666666666,0.22666666666666663,36.242499999999986,-22.840833333333347,31.03166666666667,-29.314166666666672
std,352.38389736802907,0.10980651740387641,0.14367908045682762,349.76984792158146,369.3169928770268,409.9567442454129,417.5545124273232
min,-773.55,0.1,0.1,-709.6,-708.3,-754.75,-815.325
25%,-111.9875,0.1,0.1,-139.70624999999998,-271.39374999999995,-231.9375,-303.1
50%,103.0875,0.2,0.2,46.8375,-9.9625,-39.537499999999994,-27.299999999999997
75%,342.99999999999994,0.3,0.3,233.63125000000002,181.5125,325.04375000000005,214.8625
max,800.375,0.4,0.7,616.45,776.675,787.225,773.8
true_parameter,1.0845,0.3,0.4,0.0,0.0,-1.0,0.0
