,coe_x1x2,alpha,beta,coe_x2,coe_x1,coe_y1,coe_b
count,20.0,20.0,20.0,20.0,20.0,20.0,20.0
mean,0.7363099999999999,0.255,0.35500000000000004,0.5440299999999999,52.188135,-4.530444999999999,45.97632
std,0.19590138738392682,0.1637552731171861,0.14317821063276354,1.7920996248446739,160.57009215613854,18.13756979167464,185.4948230795067
min,0.1425,0.1,0.1,0.0,0.0,-81.579,-7.3863
25%,0.60825,0.1,0.27499999999999997,0.013649999999999999,0.00445,-0.730075,-0.02175
50%,0.75755,0.25,0.4,0.05,0.01985,-0.6064499999999999,0.0
75%,0.8639749999999999,0.3,0.4,0.08235,0.08174999999999999,-0.23854999999999998,0.004625
max,0.988,0.8,0.6,8.0368,534.11,-0.0017,828.37
true_parameter,1.0845,0.3,0.4,0.0,0.0,-1.0,0.0
