,coe_x1x2,alpha,beta,coe_x2,coe_x1,coe_y1,coe_b
count,20.0,20.0,20.0,20.0,20.0,20.0,20.0
mean,0.81376,0.24999999999999994,0.37,0.035269999999999996,0.022049999999999997,-1.101405,13.201834999999997
std,0.20676621275450716,0.09459053029269174,0.09787209698591859,0.03138566719480658,0.03153281498776523,2.0591384709643163,57.0334460987242
min,0.0792,0.1,0.1,0.0,0.0,-9.7927,-0.0273
25%,0.792775,0.2,0.3,0.008025,0.0,-0.8123750000000001,-0.00042500000000000003
50%,0.8654999999999999,0.25,0.4,0.032549999999999996,0.00575,-0.69855,0.0
75%,0.9159499999999999,0.3,0.4,0.061375,0.03265,-0.60165,0.00055
max,0.9985,0.4,0.6,0.096,0.0984,-0.0265,255.37
true_parameter,1.0845,0.3,0.4,0.0,0.0,-1.0,0.0
