,coe_x1x2,alpha,beta,coe_x2,coe_x1,coe_y1,coe_b
count,30.0,30.0,30.0,30.0,30.0,30.0,30.0
mean,62.00636666666666,0.2633333333333333,0.2366666666666666,3.1724333333333337,2.897200000000002,333.57713333333345,100.15360000000003
std,219.93189060777246,0.14015590662158886,0.12994251602637358,18.317988437379093,15.584356704389668,1823.8107869538503,553.4015128578451
min,-187.0,0.1,0.1,-7.09,-0.651,-7.96,-36.1
25%,-0.0015,0.2,0.1,-0.001,0.0,-0.00475,-0.0095
50%,0.001,0.2,0.2,0.028499999999999998,0.0015,0.001,0.001
75%,0.361,0.3,0.3,0.08075,0.11225,0.08900000000000001,0.029249999999999998
max,912.0,0.6,0.6,99.9,85.4,9990.0,3030.0
true_parameter,1.0845,0.3,0.4,0.0,0.0,-1.0,0.0
