best_programs,time_used,gen_counts
(((((0.0689 * ((x1 ** 0.3) * (x2 ** 0.3))) + (0.1965 * x2)) + (17.875 * x1)) - (0.0441 * y1)) + 0),501.6905425,51
(((((0.2653 * ((x1 ** 0.3) * (x2 ** 0.7))) + (0.0988 * x2)) + (0.0912 * x1)) - (0.0424 * y1)) + 0.0032),604.1904278,62
(((((0.0064 * ((x1 ** 0.1) * (x2 ** 0.9))) + (0.0201 * x2)) + (2.7301 * x1)) - (0.0058 * y1)) + 0.0022),402.3453312,41
(((((0.0025 * ((x1 ** 0.7) * (x2 ** 0.2))) + (0.2206 * x2)) + (248.02 * x1)) - (0.0003 * y1)) - 0.0),386.9765434,42
(((((0.0062 * ((x1 ** 0.6) * (x2 ** 0.1))) + (0.24 * x2)) + (0.1952 * x1)) - (0.0001 * y1)) + 0.0),507.6411695,54
(((((0.0737 * ((x1 ** 0.2) * (x2 ** 0.7))) + (0.0138 * x2)) + (0.3035 * x1)) - (0.0038 * y1)) + 0.0),355.6698995,39
(((((0.079 * ((x1 ** 0.8) * (x2 ** 0.2))) + (0.2641 * x2)) + (0.0902 * x1)) - (0.0007 * y1)) + 0.0),466.1677687,47
(((((0.0098 * ((x1 ** 0.9) * (x2 ** 0.1))) + (0.2877 * x2)) + (0.0991 * x1)) - (0.0001 * y1)) + 0.076),642.4630806,69
(((((0.3261 * ((x1 ** 0.3) * (x2 ** 0.7))) + (0.0658 * x2)) + (0.078 * x1)) - (0.0005 * y1)) + 0.0),407.1293867,44
(((((0.0099 * ((x1 ** 0.2) * (x2 ** 0.7))) + (0.0021 * x2)) + (0.0026 * x1)) - (0.0028 * y1)) - 0.002),277.2071614,31
(((((0.0603 * ((x1 ** 0.7) * (x2 ** 0.1))) + (0.2252 * x2)) + (0.1537 * x1)) - (0.0055 * y1)) + 0.0054),263.1881964,27
(((((0.2737 * ((x1 ** 0.4) * (x2 ** 0.6))) + (8.6205 * x2)) + (0.0996 * x1)) - (0.0011 * y1)) - 0.0),567.3090429,58
(((((0.0554 * ((x1 ** 0.4) * (x2 ** 0.5))) + (0.1878 * x2)) + (0.1738 * x1)) - (0.0003 * y1)) + 0.0063),457.2200942,49
(((((0.0927 * ((x1 ** 0.2) * (x2 ** 0.1))) + (0.1559 * x2)) + (0.2377 * x1)) - (0.01 * y1)) + 0.0053),413.9478383,41
(((((0.0213 * ((x1 ** 0.6) * (x2 ** 0.4))) + (0.1519 * x2)) + (0.0808 * x1)) - (0.0002 * y1)) - 0.005),407.9965093,43
(((((0.0714 * ((x1 ** 0.9) * (x2 ** 0.1))) + (0.7293 * x2)) + (0.0972 * x1)) - (0.002 * y1)) + 0.0059),452.5289812,48
(((((0.0989 * ((x1 ** 0.4) * (x2 ** 0.1))) + (0.225 * x2)) + (0.0287 * x1)) - (0.0064 * y1)) + 0.005),234.1331775,26
(((((0.096 * ((x1 ** 0.1) * (x2 ** 0.8))) + (0.0967 * x2)) + (0.2691 * x1)) - (0.0022 * y1)) - 0.0),522.7943664,56
(((((0.0998 * ((x1 ** 0.3) * (x2 ** 0.7))) + (0.1899 * x2)) + (0.1611 * x1)) - (0.0003 * y1)) + 0.0),628.0064931,60
(((((0.0098 * ((x1 ** 0.2) * (x2 ** 0.7))) + (0.2247 * x2)) + (0.2125 * x1)) - (0.0001 * y1)) + 0),254.1582882,28
(((((0.3028 * ((x1 ** 0.4) * (x2 ** 0.6))) + (0.0755 * x2)) + (0.0691 * x1)) - (0.0041 * y1)) + 0.0025),313.9687622,35
(((((0.1652 * ((x1 ** 0.3) * (x2 ** 0.7))) + (0.0982 * x2)) + (0.1962 * x1)) - (0.0011 * y1)) - 0.0),671.5565705,73
(((((0.306 * ((x1 ** 0.6) * (x2 ** 0.4))) + (0.0832 * x2)) + (0.0564 * x1)) - (0.0006 * y1)) + 0.0041),298.6389933,33
(((((0.0841 * ((x1 ** 0.1) * (x2 ** 0.9))) + (0.0448 * x2)) + (0.2504 * x1)) - (0.0009 * y1)) + 0.0025),549.9364216,59
(((((0.0956 * ((x1 ** 0.1) * (x2 ** 0.1))) + (0.2489 * x2)) + (0.0082 * x1)) - (0.001 * y1)) - 0.6839),633.5408971,62
(((((0.2498 * ((x1 ** 0.3) * (x2 ** 0.7))) + (0.0912 * x2)) + (0.0998 * x1)) - (0.0 * y1)) - 0),476.218049,46
(((((0.272 * ((x1 ** 0.4) * (x2 ** 0.5))) + (0.1259 * x2)) + (0.0802 * x1)) - (0.0042 * y1)) - 0.0021),307.0404472,30
(((((0.009 * ((x1 ** 0.6) * (x2 ** 0.4))) + (0.3066 * x2)) + (0.1449 * x1)) - (0.0086 * y1)) - 0.0097),370.4633784,36
(((((0.0901 * ((x1 ** 0.9) * (x2 ** 0.1))) + (0.252 * x2)) + (0.0996 * x1)) - (0.0015 * y1)) + 0.0003),677.3670962,65
(((((0.0493 * ((x1 ** 0.5) * (x2 ** 0.5))) + (0.4088 * x2)) + (0.1773 * x1)) - (0.0005 * y1)) + 753.09),497.9576809,48
