,coe_x1x2,alpha,beta,coe_x2,coe_x1,coe_y1,coe_b
count,30.0,30.0,30.0,30.0,30.0,30.0,30.0
mean,73.74,0.2333333333333333,0.21666666666666665,-64.94833333333332,19.644166666666653,-2.3983333333333348,-70.04666666666667
std,404.60580617179863,0.1516196087157807,0.11768846465411839,337.70840799916925,247.30743289610388,398.0486764080869,327.8673686278028
min,-774.775,0.1,0.1,-780.375,-603.7,-669.625,-734.85
25%,-178.65,0.1,0.1,-241.9375,-113.55624999999999,-329.36249999999995,-278.6625
50%,92.8125,0.2,0.2,-18.5375,-16.9,34.1625,-63.537499999999994
75%,393.66875,0.3,0.3,92.79999999999998,169.46875000000003,321.7375,192.24999999999997
max,710.325,0.7,0.5,593.225,574.475,756.25,506.85
true_parameter,1.0845,0.3,0.4,0.0,0.0,-1.0,0.0
