,coe_x1x2,alpha,beta,coe_x2,coe_x1,coe_y1,coe_b
count,30.0,30.0,30.0,30.0,30.0,30.0,30.0
mean,0.3028699999999999,0.3333333333333333,0.44999999999999996,0.13603,0.22790000000000005,-0.22000333333333338,22.22309
std,0.17312640817303568,0.16470105276411925,0.1960823190960086,0.13769043026371475,0.9156894112803943,1.111533063551335,121.62027955829642
min,0.0034,0.1,0.1,0.0,0.0,-6.1036,-0.0796
25%,0.108125,0.2,0.4,0.0288,0.006500000000000001,-0.022125000000000002,-0.00395
50%,0.36495,0.3,0.5,0.0834,0.05975,-0.0066,0.00295
75%,0.44194999999999995,0.4,0.6,0.267475,0.0968,-0.00355,0.02525
max,0.4855,0.7,0.8,0.4045,5.0654,-0.0001,666.16
true_parameter,1.0845,0.3,0.4,0.0,0.0,-1.0,0.0
