best_programs,time_used,gen_counts
(((((0.057 * ((x1 ** 0.7) * (x2 ** 0.1))) + (0.3821 * x2)) + (5.0654 * x1)) - (0.0003 * y1)) - 0.0065),219.2096393108368,25
(((((0.4593 * ((x1 ** 0.2) * (x2 ** 0.6))) + (0.0023 * x2)) + (0.053 * x1)) - (0.002 * y1)) + 0.0041),247.18678998947144,28
(((((0.0784 * ((x1 ** 0.4) * (x2 ** 0.4))) + (0.3107 * x2)) + (0.0982 * x1)) - (0.008 * y1)) + 0.0028),262.46857595443726,30
(((((0.4739 * ((x1 ** 0.3) * (x2 ** 0.7))) + (0.0052 * x2)) + (0.0388 * x1)) - (0.0019 * y1)) + 666.16),259.5381848812103,30
(((((0.3412 * ((x1 ** 0.2) * (x2 ** 0.6))) + (0.0836 * x2)) + (0.0985 * x1)) - (0.0083 * y1)) - 0.004),284.2633259296417,30
(((((0.3186 * ((x1 ** 0.5) * (x2 ** 0.5))) + (0.0898 * x2)) + (0.0618 * x1)) - (0.0035 * y1)) + 0.0033),319.2394828796387,35
(((((0.4716 * ((x1 ** 0.6) * (x2 ** 0.1))) + (0.0056 * x2)) + (0.005 * x1)) - (0.0266 * y1)) - 0.0084),250.43467712402344,28
(((((0.1784 * ((x1 ** 0.4) * (x2 ** 0.2))) + (0.0754 * x2)) + (0.0788 * x1)) - (0.0099 * y1)) - 0.001),204.65475487709045,22
(((((0.4629 * ((x1 ** 0.5) * (x2 ** 0.4))) + (0.0464 * x2)) + (0 * x1)) - (0.0842 * y1)) + 0.0318),295.0341658592224,29
(((((0.04 * ((x1 ** 0.2) * (x2 ** 0.6))) + (0.3264 * x2)) + (0.1076 * x1)) - (0.0994 * y1)) + 0.034),422.6167628765106,41
(((((0.3836 * ((x1 ** 0.2) * (x2 ** 0.8))) + (0.0047 * x2)) + (0.0941 * x1)) - (0.0083 * y1)) - 0.0402),379.51729798316956,37
(((((0.4667 * ((x1 ** 0.4) * (x2 ** 0.4))) + (0.046 * x2)) + (0.027 * x1)) - (0.0001 * y1)) + 0.0044),327.2151563167572,32
(((((0.318 * ((x1 ** 0.4) * (x2 ** 0.5))) + (0.0268 * x2)) + (0.0079 * x1)) - (0.0088 * y1)) - 0.0038),284.9348032474518,28
(((((0.3667 * ((x1 ** 0.2) * (x2 ** 0.1))) + (0.3982 * x2)) + (0.0079 * x1)) - (0.0047 * y1)) + 0.0031),337.46241998672485,33
(((((0.4006 * ((x1 ** 0.4) * (x2 ** 0.6))) + (0.1034 * x2)) + (0.0061 * x1)) - (6.1036 * y1)) + 0.0031),289.72224140167236,29
(((((0.0847 * ((x1 ** 0.3) * (x2 ** 0.6))) + (0.3052 * x2)) + (0.0917 * x1)) - (0.0037 * y1)) + 0.0007),216.631737947464,24
(((((0.3019 * ((x1 ** 0.1) * (x2 ** 0.1))) + (0.0832 * x2)) + (0.0868 * x1)) - (0.0054 * y1)) - 0.0055),247.70329546928406,27
(((((0.4426 * ((x1 ** 0.3) * (x2 ** 0.4))) + (0.0939 * x2)) + (0.0056 * x1)) - (0.0014 * y1)) + 0.0056),193.87523746490479,22
(((((0.4855 * ((x1 ** 0.4) * (x2 ** 0.4))) + (0.0379 * x2)) + (0.0 * x1)) - (0.0387 * y1)) + 0.038),277.1068630218506,30
(((((0.4257 * ((x1 ** 0.3) * (x2 ** 0.7))) + (0 * x2)) + (0.0 * x1)) - (0.076 * y1)) + 0),256.5605192184448,28
(((((0.0358 * ((x1 ** 0.3) * (x2 ** 0.4))) + (0.2728 * x2)) + (0.1836 * x1)) - (0.0262 * y1)) + 0.0027),214.35253143310547,24
(((((0.4373 * ((x1 ** 0.3) * (x2 ** 0.6))) + (0.0348 * x2)) + (0.0616 * x1)) - (0.0081 * y1)) + 0.0043),238.51165914535522,26
(((((0.0076 * ((x1 ** 0.7) * (x2 ** 0.2))) + (0.2515 * x2)) + (0.2268 * x1)) - (0.0052 * y1)) + 0.1389),291.2148268222809,31
(((((0.4696 * ((x1 ** 0.5) * (x2 ** 0.5))) + (0.0 * x2)) + (0.0002 * x1)) - (0.0014 * y1)) - 0.0065),304.2165310382843,30
(((((0.34 * ((x1 ** 0.2) * (x2 ** 0.7))) + (0.0903 * x2)) + (0.0977 * x1)) - (0.0064 * y1)) + 0.0957),229.92678427696228,26
(((((0.3632 * ((x1 ** 0.1) * (x2 ** 0.5))) + (0.279 * x2)) + (0.0077 * x1)) - (0.0017 * y1)) - 0.0796),288.0028715133667,32
(((((0.0309 * ((x1 ** 0.1) * (x2 ** 0.5))) + (0.235 * x2)) + (0.004 * x1)) - (0.0377 * y1)) + 0.2431),211.91902494430542,24
(((((0.44 * ((x1 ** 0.3) * (x2 ** 0.5))) + (0.0042 * x2)) + (0.0668 * x1)) - (0.0065 * y1)) + 0.0004),263.16599225997925,29
(((((0.0034 * ((x1 ** 0.1) * (x2 ** 0.5))) + (0.4045 * x2)) + (0.1965 * x1)) - (0.0054 * y1)) + 0.0797),265.59622168540955,30
(((((0.401 * ((x1 ** 0.4) * (x2 ** 0.3))) + (0.082 * x2)) + (0.0579 * x1)) - (0.0067 * y1)) - 0.0075),227.43111610412598,26
