,coe_x1x2,alpha,beta,coe_x2,coe_x1,coe_y1,coe_b
count,30.0,30.0,30.0,30.0,30.0,30.0,30.0
mean,0.12087,0.44666666666666666,0.37999999999999995,7.03819333333333,19.99994333333333,-12.825090000000001,0.07122
std,0.12599743880812378,0.2635740206617794,0.24268611769966966,37.20442367639979,81.62838061982036,70.13399613620099,0.31761765607137754
min,0.0062,0.1,0.1,0.0,0.0066,-384.16,-0.057
25%,0.041775,0.2,0.125,0.08,0.068775,-0.0075250000000000004,0.0
50%,0.06775,0.4,0.35,0.23735,0.09365,-0.00265,0.0
75%,0.166675,0.7,0.6,0.316675,0.22005,-0.0016,0.00095
max,0.4357,0.9,0.8,204.02,439.13,-0.0,1.7168
true_parameter,1.0845,0.3,0.4,0.0,0.0,-1.0,0.0
