,coe_x1x2,alpha,beta,coe_x2,coe_x1,coe_y1,coe_b
count,30.0,30.0,30.0,30.0,30.0,30.0,30.0
mean,0.6616233333333333,0.3166666666666667,0.3933333333333334,0.02979666666666667,30.339503333333337,-13.431226666666666,0.3926333333333335
std,0.16807968898880887,0.14641305136221774,0.1284746944983205,0.028877786276477035,166.01669348082186,71.31754101137334,11.708374234306604
min,0.2177,0.1,0.2,0.0,0.0,-391.03,-38.81
25%,0.529525,0.2,0.3,0.004075,0.0034249999999999997,-0.644625,0.0
50%,0.65215,0.3,0.4,0.02465,0.008799999999999999,-0.4831,0.00045
75%,0.76445,0.4,0.5,0.05235,0.078125,-0.088975,0.0063999999999999994
max,0.9827,0.8,0.8,0.0945,909.34,-0.0077,49.734
true_parameter,1.0845,0.3,0.4,0.0,0.0,-1.0,0.0
