,coe_x1x2,alpha,beta,coe_x2,coe_x1,coe_y1,coe_b
count,30.0,30.0,30.0,30.0,30.0,30.0,30.0
mean,0.6963399999999998,0.30000000000000004,0.35000000000000003,1.6104233333333333,0.22967333333333334,-2.8010433333333338,2.115906666666667
std,0.22987685848942152,0.12594470598448052,0.15701965613830995,8.609228296174035,0.9602505351723843,12.32192198749807,10.936961223551599
min,0.0857,0.1,0.1,0.0,0.0,-68.027,-0.0662
25%,0.56905,0.2,0.2,0.0010500000000000002,0.004775000000000001,-0.74295,-0.001775
50%,0.75455,0.3,0.35,0.0114,0.008400000000000001,-0.59455,0.00365
75%,0.883875,0.4,0.475,0.070125,0.064075,-0.452675,0.021975
max,0.99,0.6,0.7,47.192,5.2737,-0.009,59.932
true_parameter,1.0845,0.3,0.4,0.0,0.0,-1.0,0.0
