,coe_x1x2,alpha,beta,coe_x2,coe_x1,coe_y1,coe_b
count,30.0,30.0,30.0,30.0,30.0,30.0,30.0
mean,0.4070700000000001,0.31999999999999995,0.4033333333333333,0.4072966666666667,38.59543666666668,-1.9545566666666665,0.01643333333333333
std,0.19163737334369035,0.12972118642263705,0.16914252984479938,1.7395995205958956,154.42123061497432,9.352138888923358,0.0404434584739403
min,0.003,0.1,0.1,0.0,0.0012,-51.284,-0.0971
25%,0.29862500000000003,0.2,0.22500000000000003,0.004225,0.0068,-0.084575,-0.000375
50%,0.45365,0.3,0.4,0.0075,0.053,-0.039150000000000004,0.0033
75%,0.5167999999999999,0.4,0.5,0.074675,0.09775,-0.009649999999999999,0.043725
max,0.781,0.6,0.7,9.5499,825.28,-0.0017,0.096
true_parameter,1.0845,0.3,0.4,0.0,0.0,-1.0,0.0
