,coe_x1x2,alpha,beta,coe_x2,coe_x1,coe_y1,coe_b
count,30.0,30.0,30.0,30.0,30.0,30.0,30.0
mean,-57.845000000000006,0.21666666666666667,0.19999999999999998,20.891666666666666,25.232499999999998,-176.8358333333334,78.67416666666666
std,286.0931301378434,0.12617266038997935,0.10504514628777807,342.7299050507439,348.66963529311107,436.51332516510354,404.3951233591912
min,-555.65,0.1,0.1,-800.475,-660.65,-799.6,-779.15
25%,-223.34999999999997,0.1,0.1,-235.86874999999998,-218.9875,-545.54375,-113.2
50%,-83.2625,0.2,0.2,63.825,90.8375,-264.525,114.7
75%,43.43124999999999,0.3,0.27499999999999997,230.06249999999997,216.53749999999997,73.93124999999999,273.65625
max,657.425,0.6,0.4,683.0,725.15,807.325,805.425
true_parameter,1.0845,0.3,0.4,0.0,0.0,-1.0,0.0
