best_programs,time_used
(((((0.969 * ((x1 ** 0.3) * (x2 ** 0.4))) + (0.08 * x2)) + (0.002 * x1)) - (0.944 * y1)) + 0.012),921.02
(((((0.92 * ((x1 ** 0.3) * (x2 ** 0.4))) + (0.046 * x2)) + (0.035 * x1)) - (0.974 * y1)) + 0.095),1026.88
(((((0.994 * ((x1 ** 0.6) * (x2 ** 0.1))) + (0.038 * x2)) + (0.0 * x1)) - (0.909 * y1)) + 0.104),1023.88
(((((0.94 * ((x1 ** 0.5) * (x2 ** 0.5))) + (0.918 * x2)) + (0.08 * x1)) - (0.323 * y1)) + 0.053),1026.34
(((((0.972 * ((x1 ** 0.1) * (x2 ** 0.3))) + (0.003 * x2)) + (0.042 * x1)) - (0.944 * y1)) + 0.081),1027.63
(((((0.99 * ((x1 ** 0.3) * (x2 ** 0.5))) + (0.0 * x2)) + (0.005 * x1)) - (1.015 * y1)) + 0.098),1025.47
(((((0.936 * ((x1 ** 0.3) * (x2 ** 0.4))) + (0.022 * x2)) + (0.008 * x1)) - (0.368 * y1)) + 0.009),1026.54
(((((0.989 * ((x1 ** 0.3) * (x2 ** 0.4))) + (0.016 * x2)) + (0.002 * x1)) - (0.868 * y1)) + 0.006),1026.47
(((((0.679 * ((x1 ** 0.3) * (x2 ** 0.4))) + (0.077 * x2)) + (0.009 * x1)) - (0.989 * y1)) + 0.006),1027.42
(((((0.993 * ((x1 ** 0.2) * (x2 ** 0.4))) + (0.472 * x2)) + (0.074 * x1)) - (0.897 * y1)) + 0),1025.99
(((((0.982 * ((x1 ** 0.3) * (x2 ** 0.4))) + (7.43 * x2)) + (0.003 * x1)) - (0.808 * y1)) + 0.007),1029.72
(((((0.862 * ((x1 ** 0.2) * (x2 ** 0.4))) + (0.033 * x2)) + (0.08 * x1)) - (0.838 * y1)) + 0.071),1028.56
(((((0.96 * ((x1 ** 0.3) * (x2 ** 0.4))) + (0.007 * x2)) + (0.009 * x1)) - (0.906 * y1)) + 0.004),1028.03
(((((0.954 * ((x1 ** 0.7) * (x2 ** 0.3))) + (0.008 * x2)) + (0.0 * x1)) - (9.583 * y1)) + 0.095),1028.4
(((((0.89 * ((x1 ** 0.3) * (x2 ** 0.4))) + (0.081 * x2)) + (0.005 * x1)) - (0.909 * y1)) + 0.082),1025.26
(((((0.877 * ((x1 ** 0.3) * (x2 ** 0.4))) + (0.04 * x2)) + (3.576 * x1)) - (0.695 * y1)) + 0.0),1028.88
(((((0.931 * ((x1 ** 0.3) * (x2 ** 0.3))) + (0.098 * x2)) + (0.0 * x1)) - (0.009 * y1)) + 0),1029.01
(((((0.964 * ((x1 ** 0.3) * (x2 ** 0.4))) + (0.014 * x2)) + (0.009 * x1)) - (0.947 * y1)) + 0.002),1027.2
(((((0.995 * ((x1 ** 0.3) * (x2 ** 0.4))) + (0.739 * x2)) + (0.005 * x1)) - (0.84 * y1)) + 0.002),1026.17
(((((0.872 * ((x1 ** 0.3) * (x2 ** 0.4))) + (0.097 * x2)) + (0.053 * x1)) - (0.829 * y1)) + 0.05),1025.62
(((((0.864 * ((x1 ** 0.1) * (x2 ** 0.3))) + (0.0 * x2)) + (0.003 * x1)) - (0.847 * y1)) + 0.0),1026.06
(((((0.933 * ((x1 ** 0.3) * (x2 ** 0.4))) + (0.001 * x2)) + (0.044 * x1)) - (0.827 * y1)) + 0.004),1025.13
(((((0.377 * ((x1 ** 0.2) * (x2 ** 0.8))) + (0.004 * x2)) + (0.006 * x1)) - (0.863 * y1)) + 0.026),1024.57
(((((0.933 * ((x1 ** 0.2) * (x2 ** 0.4))) + (0.031 * x2)) + (0.08 * x1)) - (0.855 * y1)) + 0.005),1025.33
(((((0.905 * ((x1 ** 0.3) * (x2 ** 0.4))) + (0.009 * x2)) + (9.74 * x1)) - (8.613 * y1)) + 0.0),961.77
(((((0.951 * ((x1 ** 0.3) * (x2 ** 0.5))) + (0.008 * x2)) + (0.031 * x1)) - (0.939 * y1)) + 0.079),959.17
(((((0.931 * ((x1 ** 0.3) * (x2 ** 0.3))) + (0.098 * x2)) + (0.008 * x1)) - (0.839 * y1)) + 0.0),992.6
(((((0.872 * ((x1 ** 0.3) * (x2 ** 0.4))) + (0.009 * x2)) + (0.038 * x1)) - (0.096 * y1)) + 0.005),994.37
(((((0.981 * ((x1 ** 0.3) * (x2 ** 0.4))) + (0.004 * x2)) + (0.004 * x1)) - (0.887 * y1)) + 0.049),996.24
(((((0.91 * ((x1 ** 0.3) * (x2 ** 0.4))) + (0.043 * x2)) + (0.01 * x1)) - (0.86 * y1)) + 0.078),995.17
(((((0.988 * ((x1 ** 0.2) * (x2 ** 0.4))) + (0.037 * x2)) + (0.084 * x1)) - (0.989 * y1)) + 0.006),994.0
(((((0.856 * ((x1 ** 0.4) * (x2 ** 0.5))) + (0.0 * x2)) + (0.005 * x1)) - (0.627 * y1)) + 0.099),994.24
(((((0.337 * ((x1 ** 0.4) * (x2 ** 0.4))) + (0.077 * x2)) + (0.003 * x1)) - (0.773 * y1)) + 0.092),984.68
(((((0.92 * ((x1 ** 0.3) * (x2 ** 0.4))) + (0.085 * x2)) + (0 * x1)) - (0.902 * y1)) + 0.072),1025.53
(((((0.999 * ((x1 ** 0.3) * (x2 ** 0.4))) + (0.009 * x2)) + (21.67 * x1)) - (0.883 * y1)) + 0.002),1022.69
(((((0.874 * ((x1 ** 0.3) * (x2 ** 0.3))) + (0.042 * x2)) + (0.009 * x1)) - (0.297 * y1)) + 0.0),1023.14
(((((0.963 * ((x1 ** 0.3) * (x2 ** 0.4))) + (0.008 * x2)) + (0.015 * x1)) - (0.834 * y1)) + 0.035),1020.05
(((((0.697 * ((x1 ** 0.4) * (x2 ** 0.3))) + (0.001 * x2)) + (0.346 * x1)) - (0.695 * y1)) + 0.002),1026.26
(((((0.735 * ((x1 ** 0.5) * (x2 ** 0.1))) + (0.084 * x2)) + (0.003 * x1)) - (0.919 * y1)) + 692.6),1085.99
(((((0.872 * ((x1 ** 0.6) * (x2 ** 0.1))) + (0.096 * x2)) + (0.007 * x1)) - (0.781 * y1)) + 0.12),1126.39
(((((0.991 * ((x1 ** 0.3) * (x2 ** 0.4))) + (0.003 * x2)) + (0.045 * x1)) - (0.91 * y1)) + 0.0),1120.53
(((((0.882 * ((x1 ** 0.4) * (x2 ** 0.4))) + (0.079 * x2)) + (0.0 * x1)) - (0.886 * y1)) + 0.067),1013.68
(((((0.992 * ((x1 ** 0.3) * (x2 ** 0.4))) + (0.0 * x2)) + (0.005 * x1)) - (9.105 * y1)) + 0.071),1025.66
(((((0.01 * ((x1 ** 0.5) * (x2 ** 0.3))) + (0.27 * x2)) + (0.03 * x1)) - (0.812 * y1)) + 0.449),1029.9
(((((0.991 * ((x1 ** 0.3) * (x2 ** 0.4))) + (0.006 * x2)) + (0.002 * x1)) - (0.825 * y1)) + 0.001),1122.32
(((((0.856 * ((x1 ** 0.3) * (x2 ** 0.4))) + (0.099 * x2)) + (0.076 * x1)) - (0.992 * y1)) + 0.048),1027.29
(((((0.935 * ((x1 ** 0.3) * (x2 ** 0.2))) + (31.56 * x2)) + (0.003 * x1)) - (0.881 * y1)) + 0.077),1026.12
(((((0.979 * ((x1 ** 0.3) * (x2 ** 0.4))) + (0.008 * x2)) + (0.009 * x1)) - (0.878 * y1)) + 0.064),1029.63
(((((0.006 * ((x1 ** 0.4) * (x2 ** 0.5))) + (0.099 * x2)) + (996.1 * x1)) - (0.635 * y1)) + 0.283),1028.89
(((((0.936 * ((x1 ** 0.3) * (x2 ** 0.4))) + (0.018 * x2)) + (0.003 * x1)) - (0.882 * y1)) + 0.865),1031.08
