,coe_x1x2,alpha,beta,coe_x2,coe_x1,coe_y1,coe_b
count,30.0,30.0,30.0,30.0,30.0,30.0,30.0
mean,58.64086666666667,0.23666666666666664,0.21666666666666667,4.668266666666664,0.16290000000000002,201.96706666666668,123.28596666666665
std,608.6203198779403,0.1496739751946701,0.13412123525798006,1521.2912806427248,1.590052988707154,1030.9279540505354,1676.6561484234953
min,-1290.0,0.1,0.1,-6510.0,-3.61,-62.2,-3610.0
25%,-0.00375,0.1,0.1,0.001,-0.07325,-0.0115,-0.026500000000000003
50%,0.0005,0.2,0.2,0.035,-0.0005,0.0005,-0.0
75%,0.07275,0.3,0.3,0.39725,0.00575,0.00975,0.032499999999999994
max,3030.0,0.7,0.6,4480.0,7.09,5640.0,8250.0
true_parameter,1.0845,0.3,0.4,0.0,0.0,-1.0,0.0
