,coe_x1x2,alpha,beta,coe_x2,coe_x1,coe_y1,coe_b
count,30.0,30.0,30.0,30.0,30.0,30.0,30.0
mean,3.1478333333333333,0.2266666666666666,0.23333333333333325,27.306233333333335,0.07790000000000001,332.1333,81.24903333333336
std,17.19597665069548,0.1436790804568276,0.1241059984471932,139.89411795691655,0.3163107758147859,1824.0902750838643,567.3443173864729
min,-3.32,0.1,0.1,-0.999,-0.941,-33.2,-593.0
25%,0.0,0.1,0.1,-0.00075,-0.00075,-0.001,-0.00375
50%,0.011,0.2,0.2,0.056,0.003,0.0045000000000000005,0.0
75%,0.08900000000000001,0.3,0.3,0.506,0.058499999999999996,0.02275,0.0035
max,94.1,0.6,0.5,767.0,0.97,9990.0,3030.0
true_parameter,1.0845,0.3,0.4,0.0,0.0,-1.0,0.0
