,coe_x1x2,alpha,beta,coe_x2,coe_x1,coe_y1,coe_b
count,30.0,30.0,30.0,30.0,30.0,30.0,30.0
mean,0.8305233333333333,0.2466666666666666,0.34,0.027680000000000003,3.262910000000003,-21.63708666666667,-0.028480000000000002
std,0.5285651557940045,0.1676065452868368,0.1404426499715613,0.03554073330895033,15.33417818441131,114.34238635074601,0.14563533911794896
min,0.144,0.1,0.1,0.0,0.0,-626.98,-0.5938
25%,0.618075,0.1,0.3,0.003925,0.0035250000000000004,-0.7553500000000001,-0.004775
50%,0.7803,0.2,0.4,0.009649999999999999,0.03405,-0.6259,0.0
75%,0.938375,0.3,0.4,0.04972499999999999,0.058075,-0.09555,0.005375
max,3.4033,0.9,0.6,0.1478,83.835,-0.0011,0.1704
true_parameter,1.0845,0.3,0.4,0.0,0.0,-1.0,0.0
