,coe_x1x2,alpha,beta,coe_x2,coe_x1,coe_y1,coe_b
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,-33.144400000000005,0.33999999999999997,0.33999999999999997,324.97869999999995,2.1957,-7.9378,884.1999000000002
std,105.00737967421357,0.20110804171997806,0.2065591117977289,1389.8628967861903,6.818811888200662,25.17956862572863,2791.8707580132814
min,-332.0,0.1,0.1,-941.0,-0.027,-79.6,0.0
25%,-0.00075,0.2,0.2,-0.00075,-0.009,-0.014249999999999999,0.062
50%,0.0025,0.3,0.3,0.0035,-0.0005,0.0055,0.738
75%,0.12675,0.5,0.475,0.08900000000000001,0.057249999999999995,0.034,0.87575
max,0.39,0.7,0.7,4190.0,21.6,0.1,8830.0
true_parameter,1.0845,0.3,0.4,0.0,0.0,-1.0,0.0
