,coe_x1x2,alpha,beta,coe_x2,coe_x1,coe_y1,coe_b
count,30.0,30.0,30.0,30.0,30.0,30.0,30.0
mean,0.7397666666666667,0.31333333333333335,0.4333333333333333,0.06612666666666667,1.1216533333333332,-0.6888633333333333,-0.03696666666666667
std,1.746295071115503,0.10416609195243758,0.15161960871578065,0.0678198523134347,5.857544540088997,2.16743658006623,0.24777549255857345
min,0.0048,0.1,0.1,0.0,0.0,-8.8498,-1.3386
25%,0.4089,0.3,0.4,0.022425,0.0060750000000000005,-0.09165000000000001,-0.003125
50%,0.4478,0.3,0.4,0.06215,0.013049999999999999,-0.07075000000000001,0.0
75%,0.494,0.4,0.5,0.08259999999999999,0.069075,-0.022350000000000002,0.0076749999999999995
max,9.9623,0.5,0.7,0.3162,32.129,-0.0012,0.0895
true_parameter,1.0845,0.3,0.4,0.0,0.0,-1.0,0.0
