,coe_x1x2,alpha,beta,coe_x2,coe_x1,coe_y1,coe_b
count,30.0,30.0,30.0,30.0,30.0,30.0,30.0
mean,0.6321366666666666,0.33000000000000007,0.32333333333333336,0.09427666666666666,0.06006333333333335,-0.40142,-7.795019999999999
std,0.2026530387791823,0.14656997857914036,0.14307782626184984,0.21847665334646463,0.17083973430116295,0.29857645517724085,41.83152812365663
min,0.0512,0.1,0.1,0.0,0.0,-0.8709,-229.23
25%,0.527575,0.2,0.2,0.005025,0.00225,-0.656875,-0.004275
50%,0.62005,0.3,0.35,0.02845,0.00875,-0.44634999999999997,0.0
75%,0.797275,0.4,0.4,0.079,0.0336,-0.082125,0.00625
max,0.9703,0.7,0.7,1.1663,0.8673,-0.0048,0.0731
true_parameter,1.0845,0.3,0.4,0.0,0.0,-1.0,0.0
