best_programs,time_used,gen_counts
(((((0.7696 * ((x1 ** 0.3) * (x2 ** 0.3))) + (0.0051 * x2)) + (0.0016 * x1)) - (0.437 * y1)) + 0.0076),329.30670833587646,37
(((((0.8537 * ((x1 ** 0.2) * (x2 ** 0.4))) + (0.009 * x2)) + (0.0502 * x1)) - (0.6804 * y1)) + 0.0323),321.19481587409973,35
(((((0.9229 * ((x1 ** 0.2) * (x2 ** 0.1))) + (0.0058 * x2)) + (0.0025 * x1)) - (0.298 * y1)) + 0.0215),273.5956792831421,28
(((((4.1347 * ((x1 ** 0.4) * (x2 ** 0.3))) + (0.0001 * x2)) + (0.0736 * x1)) - (0.2983 * y1)) + 0.0055),353.2770025730133,38
(((((0.8584 * ((x1 ** 0.3) * (x2 ** 0.5))) + (0.0072 * x2)) + (0.0037 * x1)) - (0.668 * y1)) - 0.0),265.0877809524536,30
(((((0.766 * ((x1 ** 0.1) * (x2 ** 0.4))) + (0.0556 * x2)) + (0.1293 * x1)) - (0.6042 * y1)) - 0.0596),216.17544412612915,25
(((((0.5002 * ((x1 ** 0.3) * (x2 ** 0.4))) + (0.0 * x2)) + (0.0788 * x1)) - (0.0902 * y1)) - 0),250.03985118865967,28
(((((0.8182 * ((x1 ** 0.2) * (x2 ** 0.2))) + (0.0 * x2)) + (0.0763 * x1)) - (0.5711 * y1)) + 0.0078),406.3172392845154,45
(((((0.5155 * ((x1 ** 0.4) * (x2 ** 0.5))) + (0.0 * x2)) + (0.081 * x1)) - (0.0629 * y1)) - 0.0261),329.0102779865265,36
(((((0.8445 * ((x1 ** 0.3) * (x2 ** 0.3))) + (0.0596 * x2)) + (0 * x1)) - (0.5664 * y1)) + 0.0),406.14155673980713,45
(((((0.5594 * ((x1 ** 0.3) * (x2 ** 0.1))) + (0.0028 * x2)) + (0.0502 * x1)) - (0.3134 * y1)) + 0.3219),221.68719363212585,25
(((((0.8589 * ((x1 ** 0.4) * (x2 ** 0.4))) + (0.0011 * x2)) + (0.0691 * x1)) - (0.6999 * y1)) - 0.0131),342.8219623565674,38
(((((0.8691 * ((x1 ** 0.4) * (x2 ** 0.4))) + (0.0017 * x2)) + (0 * x1)) - (0.3148 * y1)) + 0.083),463.3908953666687,51
(((((0.8088 * ((x1 ** 0.3) * (x2 ** 0.2))) + (0 * x2)) + (0.0 * x1)) - (0.4873 * y1)) - 0.0),227.9029085636139,25
(((((0.6063 * ((x1 ** 0.1) * (x2 ** 0.4))) + (0.0742 * x2)) + (0.0077 * x1)) - (0.0835 * y1)) + 0.0059),263.3320496082306,29
(((((0.8627 * ((x1 ** 0.3) * (x2 ** 0.4))) + (0.0049 * x2)) + (1.1793 * x1)) - (0.703 * y1)) - 0.0),402.18473958969116,43
(((((0.9437 * ((x1 ** 0.3) * (x2 ** 0.4))) + (0.0689 * x2)) + (0.0 * x1)) - (0.7901 * y1)) - 0.0),337.04119539260864,36
(((((0.7845 * ((x1 ** 0.2) * (x2 ** 0.3))) + (0.0767 * x2)) + (0.0945 * x1)) - (0.7097 * y1)) - 0.0035),346.10442423820496,39
(((((0.7735 * ((x1 ** 0.2) * (x2 ** 0.7))) + (0.005 * x2)) + (0.0157 * x1)) - (0.5387 * y1)) + 0.0481),262.8004562854767,29
(((((0.6436 * ((x1 ** 0.4) * (x2 ** 0.5))) + (0.0 * x2)) + (0.0034 * x1)) - (0.4457 * y1)) - 0.0),288.91435265541077,32
(((((0.9862 * ((x1 ** 0.3) * (x2 ** 0.4))) + (0.0981 * x2)) + (0.0023 * x1)) - (0.0083 * y1)) + 0.0),296.11315989494324,33
(((((0.9113 * ((x1 ** 0.1) * (x2 ** 0.3))) + (0.0 * x2)) + (0.0006 * x1)) - (0.5842 * y1)) + 0.0749),359.0931279659271,37
(((((0.0006 * ((x1 ** 0.6) * (x2 ** 0.1))) + (0.097 * x2)) + (0.0052 * x1)) - (0.094 * y1)) + 0.5815),254.77128291130066,25
(((((0.6006 * ((x1 ** 0.2) * (x2 ** 0.7))) + (0.0217 * x2)) + (0.0841 * x1)) - (0.7641 * y1)) + 0.2782),222.6407413482666,22
(((((0.7848 * ((x1 ** 0.1) * (x2 ** 0.6))) + (0.0099 * x2)) + (0.0777 * x1)) - (0.7946 * y1)) - 0.0),350.0948603153229,34
(((((0.635 * ((x1 ** 0.1) * (x2 ** 0.2))) + (0.091 * x2)) + (0.0405 * x1)) - (0.2758 * y1)) + 0.0553),350.7458357810974,34
(((((0.9887 * ((x1 ** 0.2) * (x2 ** 0.4))) + (0.0952 * x2)) + (0.0741 * x1)) - (0.8715 * y1)) + 0.0),424.19008326530457,41
(((((0.8196 * ((x1 ** 0.3) * (x2 ** 0.4))) + (0.0013 * x2)) + (0.0087 * x1)) - (0.5192 * y1)) + 0.0018),530.1682896614075,51
(((((0.5438 * ((x1 ** 0.2) * (x2 ** 0.4))) + (0.0302 * x2)) + (0.0 * x1)) - (0.0459 * y1)) - 0.0279),307.87622237205505,30
(((((0.8534 * ((x1 ** 0.2) * (x2 ** 0.5))) + (0.0 * x2)) + (0.0447 * x1)) - (0.5954 * y1)) - 0.0035),539.0351450443268,51
