,coe_x1x2,alpha,beta,coe_x2,coe_x1,coe_y1,coe_b
count,30.0,30.0,30.0,30.0,30.0,30.0,30.0
mean,0.5537566666666667,0.32333333333333336,0.36666666666666664,7.205560000000003,1.1102599999999998,-0.14512,-23.470736666666667
std,0.12708655937868743,0.169549775690744,0.16259391627362751,28.43816485179125,5.95695496539332,0.15696287810641174,129.08013105543628
min,0.2932,0.1,0.1,0.0,0.0,-0.5458,-706.9
25%,0.494875,0.2,0.3,0.005350000000000001,0.004375,-0.263725,-0.004425
50%,0.5341,0.3,0.4,0.02645,0.00945,-0.07375000000000001,0.0
75%,0.64395,0.37500000000000006,0.475,0.084425,0.03825,-0.032375,0.0053
max,0.8222,0.8,0.7,138.88,32.65,-0.0008,2.7129
true_parameter,1.0845,0.3,0.4,0.0,0.0,-1.0,0.0
