best_programs,time_used,gen_counts
(((((0.6474 * ((x1 ** 0.3) * (x2 ** 0.4))) + (0.0496 * x2)) + (0.0042 * x1)) - (0.0274 * y1)) + 0.0739),262.01229596138,25
(((((0.6856 * ((x1 ** 0.1) * (x2 ** 0.1))) + (0.0293 * x2)) + (0.0099 * x1)) - (0.4177 * y1)) + 0.0),553.6132321357727,52
(((((0.6511 * ((x1 ** 0.2) * (x2 ** 0.3))) + (0.029 * x2)) + (0.0082 * x1)) - (0.046 * y1)) + 0.0012),325.3446252346039,31
(((((0.7353 * ((x1 ** 0.3) * (x2 ** 0.2))) + (0.0862 * x2)) + (0.0052 * x1)) - (0.4144 * y1)) - 0.0109),336.51587986946106,32
(((((0.4943 * ((x1 ** 0.4) * (x2 ** 0.3))) + (0.0791 * x2)) + (0.002 * x1)) - (0.0786 * y1)) + 0.0),336.4046504497528,32
(((((0.5157 * ((x1 ** 0.2) * (x2 ** 0.3))) + (0.0239 * x2)) + (0.0278 * x1)) - (0.0671 * y1)) - 0.0009),293.57310819625854,28
(((((0.6151 * ((x1 ** 0.4) * (x2 ** 0.4))) + (0.0 * x2)) + (0.0189 * x1)) - (0.3565 * y1)) + 0.0089),574.7328054904938,54
(((((0.4193 * ((x1 ** 0.6) * (x2 ** 0.3))) + (0.0734 * x2)) + (0.0012 * x1)) - (0.0404 * y1)) + 0.0026),238.26198887825012,23
(((((0.5301 * ((x1 ** 0.3) * (x2 ** 0.4))) + (0.0455 * x2)) + (0.0199 * x1)) - (0.0037 * y1)) - 706.9),261.4792261123657,25
(((((0.4284 * ((x1 ** 0.5) * (x2 ** 0.3))) + (0.0011 * x2)) + (0.0942 * x1)) - (0.0213 * y1)) - 0.0015),271.4481408596039,26
(((((0.5326 * ((x1 ** 0.1) * (x2 ** 0.5))) + (138.88 * x2)) + (32.65 * x1)) - (0.0741 * y1)) - 0.0054),294.08572697639465,28
(((((0.4107 * ((x1 ** 0.4) * (x2 ** 0.3))) + (0.0869 * x2)) + (0.0393 * x1)) - (0.0618 * y1)) + 0.0579),260.3822560310364,25
(((((0.7652 * ((x1 ** 0.3) * (x2 ** 0.4))) + (0.0028 * x2)) + (0.0325 * x1)) - (0.38 * y1)) + 0.0035),239.0555760860443,23
(((((0.5356 * ((x1 ** 0.3) * (x2 ** 0.7))) + (0.009 * x2)) + (0.0383 * x1)) - (0.0076 * y1)) - 0.0189),229.85082411766052,22
(((((0.3044 * ((x1 ** 0.3) * (x2 ** 0.6))) + (0.0405 * x2)) + (0.0378 * x1)) - (0.2062 * y1)) + 0.0014),444.13826990127563,42
(((((0.8222 * ((x1 ** 0.2) * (x2 ** 0.4))) + (0.0978 * x2)) + (0.0038 * x1)) - (0.5458 * y1)) + 0.0014),304.80789279937744,29
(((((0.5918 * ((x1 ** 0.2) * (x2 ** 0.5))) + (0.0051 * x2)) + (0.0077 * x1)) - (0.0667 * y1)) + 0.0),326.09054350852966,31
(((((0.5175 * ((x1 ** 0.6) * (x2 ** 0.1))) + (0.0928 * x2)) + (0.0435 * x1)) - (0.0297 * y1)) - 0.0429),358.7746067047119,34
(((((0.4132 * ((x1 ** 0.7) * (x2 ** 0.1))) + (0.7522 * x2)) + (0.0598 * x1)) - (0.0923 * y1)) + 0.0091),424.0680675506592,40
(((((0.2932 * ((x1 ** 0.3) * (x2 ** 0.6))) + (0.0079 * x2)) + (0.0047 * x1)) - (0.0963 * y1)) + 0.0025),303.1858296394348,29
(((((0.7429 * ((x1 ** 0.2) * (x2 ** 0.2))) + (0.0011 * x2)) + (0.0696 * x1)) - (0.2829 * y1)) + 0.0059),445.36274242401123,42
(((((0.5499 * ((x1 ** 0.3) * (x2 ** 0.5))) + (0.0055 * x2)) + (0.0046 * x1)) - (0.0957 * y1)) + 2.7129),402.0571942329407,38
(((((0.5153 * ((x1 ** 0.3) * (x2 ** 0.4))) + (0.0071 * x2)) + (0.0609 * x1)) - (0.2849 * y1)) - 0.0072),445.5485215187073,42
(((((0.5189 * ((x1 ** 0.3) * (x2 ** 0.3))) + (0.0043 * x2)) + (0.0032 * x1)) - (0.0008 * y1)) + 0.0635),401.8123857975006,38
(((((0.666 * ((x1 ** 0.2) * (x2 ** 0.4))) + (0.0053 * x2)) + (0.0381 * x1)) - (0.0894 * y1)) + 0.0),390.21732997894287,37
(((((0.4966 * ((x1 ** 0.2) * (x2 ** 0.4))) + (0.0879 * x2)) + (0.001 * x1)) - (0.0667 * y1)) - 0.0095),282.60517954826355,27
(((((0.4824 * ((x1 ** 0.3) * (x2 ** 0.6))) + (0.0069 * x2)) + (0.0043 * x1)) - (0.0267 * y1)) + 0.007),260.95867943763733,25
(((((0.6336 * ((x1 ** 0.3) * (x2 ** 0.6))) + (0.0096 * x2)) + (0.0082 * x1)) - (0.3886 * y1)) - 0.0009),617.0204124450684,58
(((((0.5601 * ((x1 ** 0.8) * (x2 ** 0.1))) + (0 * x2)) + (0.009 * x1)) - (0.0734 * y1)) - 0.0001),476.33388447761536,45
(((((0.5383 * ((x1 ** 0.1) * (x2 ** 0.3))) + (75.647 * x2)) + (0.0 * x1)) - (0.0109 * y1)) - 0.0756),292.9308748245239,28
